issue_id,run_id,url,severity,issue_code,title,description,evidence_json,issue_provenance,technical_seo_gate,verification_status,confidence_score,certainty_state,priority_score,page_importance,reach,urgency,affected_count,affected_ratio,template_cluster,affected_page_types
3,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/,high,CANONICAL_MISMATCH,Canonical mismatch,Canonical URL differs from final fetched URL.,"{""canonical"": ""https://void-agency.com/smbs"", ""final"": ""https://www.void-agency.com/""}",both,canonicalization,automated,95,Verified,63,1.4,sitewide,1.2,55,1.0,content-template,"article,homepage,legal,other"
238,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/,high,CANONICAL_MISMATCH,Canonical mismatch,Canonical URL differs from final fetched URL.,"{""canonical"": ""https://void-agency.com/smbs"", ""final"": ""https://www.void-agency.com/""}",both,canonicalization,automated,95,Verified,63,1.4,sitewide,1.2,55,1.0,content-template,"article,homepage,legal,other"
240,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/,high,HREFLANG_RECIPROCITY_MISSING,Hreflang reciprocity missing,One or more hreflang target pages do not point back to this URL.,"{""missing_reciprocal_targets"": [""https://void-agency.com/""]}",both,canonicalization,automated,95,Verified,63,1.4,sitewide,1.2,54,0.9818,content-template,"article,homepage,legal,other"
1,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/,medium,BING_PREVIEW_CONTROLS_RESTRICTIVE,Bing-facing preview controls are restrictive,Current preview directives are restrictive enough to reduce snippet/answer-surface visibility for Bing consumption.,"{""classification"": ""likely_accidental_suppression"", ""restriction_score"": 4, ""reasons"": [""max_snippet_le_zero"", ""max_video_preview_le_zero""], ""page_importance"": 1.4}",both,indexability,automated,95,Verified,43,1.4,sitewide,1.35,22,0.4,other-template,"homepage,other"
4,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/,medium,EXACT_CONTENT_DUPLICATE,Exact duplicate content,Visible page text exactly matches other indexable pages after normalization.,"{""content_hash"": ""0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df"", ""duplicate_count"": 55, ""sample_urls"": [""https://void-agency.com/"", ""https://void-agency.com/auto-body"", ""https://void-agency.com/dentists"", ""https://void-agency.com/foundation-repair"", ""https://void-agency.com/hvac"", ""https://void-agency.com/insights"", ""https://void-agency.com/insights/builder-incentives"", ""https://void-agency.com/insights/case-study""]}",both,indexability,automated,95,Verified,43,1.4,sitewide,1.35,55,1.0,content-template,"article,homepage,legal,other"
236,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/,medium,BING_PREVIEW_CONTROLS_RESTRICTIVE,Bing-facing preview controls are restrictive,Current preview directives are restrictive enough to reduce snippet/answer-surface visibility for Bing consumption.,"{""classification"": ""likely_accidental_suppression"", ""restriction_score"": 4, ""reasons"": [""max_snippet_le_zero"", ""max_video_preview_le_zero""], ""page_importance"": 1.4}",both,indexability,automated,95,Verified,43,1.4,sitewide,1.35,22,0.4,other-template,"homepage,other"
239,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/,medium,EXACT_CONTENT_DUPLICATE,Exact duplicate content,Visible page text exactly matches other indexable pages after normalization.,"{""content_hash"": ""0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df"", ""duplicate_count"": 55, ""sample_urls"": [""https://void-agency.com/"", ""https://void-agency.com/auto-body"", ""https://void-agency.com/dentists"", ""https://void-agency.com/foundation-repair"", ""https://void-agency.com/hvac"", ""https://void-agency.com/insights"", ""https://void-agency.com/insights/builder-incentives"", ""https://void-agency.com/insights/case-study""]}",both,indexability,automated,95,Verified,43,1.4,sitewide,1.35,55,1.0,content-template,"article,homepage,legal,other"
235,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/sitemap.xml.gz,high,REDIRECT_TO_ERROR,Redirect ends in error,"A redirect path resolves to an error status, which breaks access to the intended URL.","{""hops"": 1, ""status_code"": 404, ""chain"": [""https://void-agency.com/sitemap.xml.gz"", ""https://www.void-agency.com/sitemap.xml.gz""]}",both,access,automated,95,Verified,38,1.0,single_page,1.35,2,0.0364,,other
249,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/sitemap_index.xml,high,REDIRECT_TO_ERROR,Redirect ends in error,"A redirect path resolves to an error status, which breaks access to the intended URL.","{""hops"": 1, ""status_code"": 404, ""chain"": [""https://void-agency.com/sitemap_index.xml"", ""https://www.void-agency.com/sitemap_index.xml""]}",both,access,automated,95,Verified,38,1.0,single_page,1.35,2,0.0364,,other
7,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/auto-body,medium,BING_PREVIEW_CONTROLS_RESTRICTIVE,Bing-facing preview controls are restrictive,Current preview directives are restrictive enough to reduce snippet/answer-surface visibility for Bing consumption.,"{""classification"": ""likely_accidental_suppression"", ""restriction_score"": 4, ""reasons"": [""max_snippet_le_zero"", ""max_video_preview_le_zero""], ""page_importance"": 1.0}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,22,0.4,other-template,"homepage,other"
10,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/auto-body,medium,EXACT_CONTENT_DUPLICATE,Exact duplicate content,Visible page text exactly matches other indexable pages after normalization.,"{""content_hash"": ""0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df"", ""duplicate_count"": 55, ""sample_urls"": [""https://void-agency.com/"", ""https://void-agency.com/auto-body"", ""https://void-agency.com/dentists"", ""https://void-agency.com/foundation-repair"", ""https://void-agency.com/hvac"", ""https://void-agency.com/insights"", ""https://void-agency.com/insights/builder-incentives"", ""https://void-agency.com/insights/case-study""]}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,55,1.0,content-template,"article,homepage,legal,other"
14,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/dentists,medium,BING_PREVIEW_CONTROLS_RESTRICTIVE,Bing-facing preview controls are restrictive,Current preview directives are restrictive enough to reduce snippet/answer-surface visibility for Bing consumption.,"{""classification"": ""likely_accidental_suppression"", ""restriction_score"": 4, ""reasons"": [""max_snippet_le_zero"", ""max_video_preview_le_zero""], ""page_importance"": 1.0}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,22,0.4,other-template,"homepage,other"
