event_id,run_id,event_time,event_type,stage,message,elapsed_ms,detail_json
1,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:33:36.578882+00:00,offsite_commoncrawl_status,offsite_commoncrawl,,0,"{""mode"": ""ranks"", ""schedule"": ""concurrent_best_effort"", ""status"": ""skipped_disabled""}"
2,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:33:37.068839+00:00,stage_timing,robots,,489,"{""robots_loaded"": 1, ""robots_respected"": 1, ""robots_rules"": 0, ""robots_state"": ""redirect_scope_mismatch""}"
3,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:33:37.282484+00:00,stage_timing,sitemaps,,213,"{""sitemap_entries"": 25, ""sitemap_sources"": 3, ""sitemap_warnings"": 0}"
4,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:33:37.282881+00:00,provider_summary,sitemap_status,,0,"{""property_uri"": """", ""rows"": [], ""status"": ""skipped_disabled""}"
5,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:33:37.282915+00:00,stage_timing,sitemap_status,,0,"{""property_uri"": """", ""rows"": [], ""status"": ""skipped_disabled""}"
6,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:33:37.287876+00:00,crawl_plan_summary,plan_crawl,,0,"{""extractor_version_changed"": 0, ""planner_discovered"": 28, ""planner_incremental_enabled"": 0, ""planner_known_sitemap_urls"": 25, ""planner_prioritized_changed_urls"": 0, ""planner_seed_urls"": 28, ""schema_rule_version_changed"": 0, ""scoring_version_changed"": 0}"
7,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:33:37.287914+00:00,stage_timing,plan_crawl,,4,"{""extractor_version_changed"": 0, ""planner_discovered"": 28, ""planner_incremental_enabled"": 0, ""planner_known_sitemap_urls"": 25, ""planner_prioritized_changed_urls"": 0, ""planner_seed_urls"": 28, ""schema_rule_version_changed"": 0, ""scoring_version_changed"": 0}"
8,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:35:44.258167+00:00,crawl_discovery_summary,crawl,,0,"{""asset_skipped"": 0, ""crawl_workers_used"": 1, ""dedupe_skipped"": 481, ""enqueue_attempts"": 1405, ""enqueued_band_high"": 28, ""enqueued_band_low"": 0, ""enqueued_band_normal"": 30, ""enqueued_total"": 58, ""enqueued_via_render_link"": 30, ""enqueued_via_seed"": 28, ""fetch_network_retries_total"": 0, ""fetch_retries_total"": 0, ""fetch_retry_after_used"": 0, ""fetch_retry_budget_exhausted"": 0, ""fetch_retry_wait_ms_total"": 0, ""fetch_retryable_status_total"": 0, ""fetched"": 58, ""not_modified"": 0, ""policy_skipped"": 0, ""queue_cap_skipped"": 5, ""render_frontier_checks"": 58, ""render_frontier_failures"": 0, ""render_frontier_successes"": 58, ""reparsed"": 0, ""rerendered"": 58, ""reused_from_cache"": 0, ""scope_skipped"": 0, ""seen_skipped"": 861}"
9,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:35:44.258227+00:00,crawl_heartbeat,crawl,pages=50 queue=7 errors=0,112391,"{""crawl_elapsed_ms"": 112391, ""dedupe_skipped"": 474, ""enqueued_total"": 57, ""error_count"": 0, ""fetch_retries_total"": 0, ""fetch_retry_wait_ms_total"": 0, ""fetched"": 50, ""last_depth"": 2, ""last_url"": ""https://www.void-agency.com/insights/texas-cost-stack"", ""not_modified"": 0, ""pages_stored"": 50, ""queue_size"": 7, ""request_delay_s"": 0.25, ""reused_from_cache"": 0, ""seen_count"": 50}"
10,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:35:44.258252+00:00,crawl_incremental_summary,crawl,,0,"{""discovered"": 58, ""fetched"": 58, ""not_modified"": 0, ""reparsed"": 0, ""rerendered"": 58, ""reused_from_cache"": 0}"
